episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-29761.44026897444,-0.4246780860298864,404518217.8658589,5772.234843976297,-29761.44026897444,-0.4246780860298864,-40451.82178658588,-0.5772234843976296,80.15981735159818,0.4246780860298864,0.6871972339061876,29761.44026897444,35040,31536000
1,-25461.176124382324,-0.3633158693547706,407792404.4213242,5818.955542541727,-25461.176124382324,-0.3633158693547706,-40779.24044213242,-0.5818955542541726,67.61986301369863,0.3633158693547706,0.6601584770998613,25461.176124382324,35040,31536000
2,-22216.676133038403,-0.31701878043719184,413984582.58795106,5907.314249257292,-22216.676133038403,-0.31701878043719184,-41398.45825879511,-0.5907314249257293,63.69292237442923,0.31701878043719184,0.5763077669571351,22216.676133038403,35040,31536000
3,-22074.383229264244,-0.3149883451664418,417388845.5203233,5955.891060506896,-22074.383229264244,-0.3149883451664418,-41738.88455203232,-0.5955891060506895,63.37328767123288,0.3149883451664418,0.5713032434914811,22074.383229264244,35040,31536000
4,-22090.771682269,-0.3152221986625143,415116044.1977685,5923.459534785509,-22090.771682269,-0.3152221986625143,-41511.60441977686,-0.592345953478551,63.567351598173516,0.3152221986625143,0.5733990542524928,22090.771682269,35040,31536000
5,-22280.898745767227,-0.31793519899782,417026404.2205415,5950.719238306813,-22280.898745767227,-0.31793519899782,-41702.64042205416,-0.5950719238306815,63.886986301369866,0.31793519899782,0.579766412436863,22280.898745767227,35040,31536000
6,-22046.285108430355,-0.31458740166139204,415433044.81733125,5927.982945452786,-22046.285108430355,-0.31458740166139204,-41543.304481733125,-0.5927982945452787,63.47602739726027,0.31458740166139204,0.57900166571111,22046.285108430355,35040,31536000
7,-21865.77696779205,-0.31201165764543454,419142527.83982116,5980.9150662074935,-21865.77696779205,-0.31201165764543454,-41914.25278398212,-0.5980915066207494,61.96347031963471,0.31201165764543454,0.5805888491762057,21865.77696779205,35040,31536000
8,-21699.60733606958,-0.3096405156402623,418036806.2812567,5965.137075931174,-21699.60733606958,-0.3096405156402623,-41803.680628125665,-0.5965137075931174,62.82534246575342,0.3096405156402623,0.5705868570478109,21699.60733606958,35040,31536000
9,-21663.12708322005,-0.30911996408704406,417068565.11950463,5951.320849308,-21663.12708322005,-0.30911996408704406,-41706.85651195046,-0.5951320849307999,62.3458904109589,0.30911996408704406,0.574045042353128,21663.12708322005,35040,31536000
10,-21482.937014200856,-0.3065487587642816,418938149.1479353,5977.998703594967,-21482.937014200856,-0.3065487587642816,-41893.81491479353,-0.5977998703594968,61.76940639269406,0.3065487587642816,0.5700434896517316,21482.937014200856,35040,31536000
11,-21651.03033079875,-0.3089473506107127,415877424.6058814,5934.323981248308,-21651.03033079875,-0.3089473506107127,-41587.742460588146,-0.5934323981248308,62.648401826484026,0.3089473506107127,0.571604962848455,21651.03033079875,35040,31536000
12,-21441.145721642708,-0.3059524218270934,419127978.09989965,5980.7074500556455,-21441.145721642708,-0.3059524218270934,-41912.79780998997,-0.5980707450055647,62.33447488584475,0.3059524218270934,0.5679346906951742,21441.145721642708,35040,31536000
13,-21331.094118470348,-0.30438205077725955,416915335.1405199,5949.134348466323,-21331.094118470348,-0.30438205077725955,-41691.533514051975,-0.5949134348466321,62.3458904109589,0.30438205077725955,0.5642302451204958,21331.094118470348,35040,31536000
14,-21526.067050881058,-0.30716419878540324,417073371.4018467,5951.389432103977,-21526.067050881058,-0.30716419878540324,-41707.33714018467,-0.5951389432103976,62.14041095890411,0.30716419878540324,0.5698666002347386,21526.067050881058,35040,31536000
15,-21424.369887662804,-0.3057130406344578,418238268.72750044,5968.011825449493,-21424.369887662804,-0.3057130406344578,-41823.82687275004,-0.5968011825449492,62.33447488584475,0.3057130406344578,0.5662500121089189,21424.369887662804,35040,31536000
16,-21410.314807205745,-0.30551248297953404,418580922.7177258,5972.901294488097,-21410.314807205745,-0.30551248297953404,-41858.092271772584,-0.5972901294488097,62.43150684931506,0.30551248297953404,0.5666081873822806,21410.314807205745,35040,31536000
17,-21312.82945704055,-0.30412142490069277,421524383.6668186,6014.902734971727,-21312.82945704055,-0.30412142490069277,-42152.43836668186,-0.6014902734971727,61.54680365296804,0.30412142490069277,0.5662108804795659,21312.82945704055,35040,31536000
18,-21403.752510293278,-0.3054188428980205,420902644.0729153,6006.030880035892,-21403.752510293278,-0.3054188428980205,-42090.26440729154,-0.6006030880035894,61.10159817351598,0.3054188428980205,0.5709292847378996,21403.752510293278,35040,31536000
19,-21467.596839736634,-0.30633860612084585,419653776.29348725,5988.38117944986,-21467.596839736634,-0.30633860612084585,-41965.37762934873,-0.5988381179449861,61.034846884899686,0.30633860612084585,0.5739707250273742,21467.596839736634,35039,31535100
