episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-16799.57478347455,-0.23971995980985372,426298993.25409883,6083.033579539081,-16000.69876671366,-0.22832047326931593,-42629.89932540989,-0.6083033579539082,93.71575342465754,0.22832047326931593,0.3319226476665094,16000.69876671366,35040,31536000
1,-217790.44793447442,-3.107740410023893,431196026.06959444,6152.9113309017475,-223192.6390270779,-3.1848264701352442,-43119.60260695946,-0.6152911330901749,200.0,3.1848264701352442,0.2569441519471664,223192.6390270779,35040,31536000
2,-217825.14766350872,-3.1082355545591995,420323349.70866525,5997.764693331411,-223262.03877771413,-3.185816763380624,-42032.33497086653,-0.5997764693331411,200.0,3.185816763380624,0.25804427723194245,223262.03877771413,35040,31536000
3,-217761.94310586626,-3.107333663040329,426033256.39577603,6079.241672314156,-223179.21993472055,-3.184634987652976,-42603.32563957761,-0.6079241672314157,200.0,3.184634987652976,0.2564586405577594,223179.21993472055,35040,31536000
4,-217809.11890210464,-3.1080068336487536,426927830.4333329,6092.006712804408,-223225.0880523759,-3.185289498464268,-42692.78304333329,-0.6092006712804409,200.0,3.185289498464268,0.2574681380322881,223225.0880523759,35040,31536000
5,-217769.82442268354,-3.1074461247529044,419665462.25416255,5988.377029882457,-223207.03921228973,-3.185031952230162,-41966.54622541626,-0.5988377029882458,200.0,3.185031952230162,0.2568522016549261,223207.03921228973,35040,31536000
6,-217803.62221212639,-3.107928399145639,427325457.071983,6097.680608903866,-223218.1915885675,-3.1851910900195137,-42732.54570719831,-0.6097680608903868,200.0,3.1851910900195137,0.2575887610636995,223218.1915885675,35040,31536000
7,-217769.68598763013,-3.1074441493668683,427170183.2480539,6095.464943608075,-223183.68601843916,-3.1846987160165403,-42717.01832480539,-0.6095464943608074,200.0,3.1846987160165403,0.25702658506606374,223183.68601843916,35040,31536000
8,-217832.02157173198,-3.1083336411491436,429355735.82738054,6126.651481555087,-223241.19006623694,-3.185519264643792,-42935.57358273806,-0.6126651481555089,200.0,3.185519264643792,0.2578847387303954,223241.19006623694,35040,31536000
9,-217882.78856892735,-3.109058056063461,434745560.2605094,6203.561076776675,-223276.85761664517,-3.186028219415599,-43474.55602605094,-0.6203561076776675,200.0,3.186028219415599,0.2583764509437448,223276.85761664517,35040,31536000
10,-217803.23577301798,-3.1079228848889553,429956855.0904523,6135.229096610336,-223209.65485334708,-3.1850692758753865,-42995.68550904524,-0.6135229096610336,200.0,3.1850692758753865,0.2574269574490084,223209.65485334708,35040,31536000
11,-217758.3290406768,-3.107282092475411,425279370.1202659,6068.484162675027,-223177.82570135672,-3.184615092770501,-42527.937012026596,-0.6068484162675027,200.0,3.184615092770501,0.25675370942073367,223177.82570135672,35040,31536000
12,-217793.6825990215,-3.107786566766859,423759554.7222374,6046.797299118684,-223218.9731287163,-3.1852022421335087,-42375.95547222375,-0.6046797299118686,200.0,3.1852022421335087,0.25741882639488933,223218.9731287163,35040,31536000
13,-217819.02807338577,-3.1081482316407785,425396335.4809123,6070.153188939959,-223240.04027519902,-3.185502857808205,-42539.63354809124,-0.607015318893996,200.0,3.185502857808205,0.25817465632556713,223240.04027519902,35040,31536000
14,-217790.27967757825,-3.1077380090978632,422028853.0292848,6022.10121331742,-223220.81764792826,-3.1852285623277434,-42202.88530292847,-0.6022101213317419,200.0,3.1852285623277434,0.2574170250056733,223220.81764792826,35040,31536000
15,-217859.09862108537,-3.1087200145702822,429894253.230806,6134.335805234104,-223267.43903236388,-3.1858938218088455,-42989.42532308059,-0.6134335805234102,200.0,3.1858938218088455,0.25830798202762945,223267.43903236388,35040,31536000
16,-217741.75387181665,-3.1070455746549177,422758785.58549094,6032.516917601183,-223168.53352068062,-3.1844824988681597,-42275.878558549106,-0.6032516917601185,200.0,3.1844824988681597,0.25645172742524797,223168.53352068062,35040,31536000
17,-217741.54106530818,-3.1070425380323656,427989013.012282,6107.14915828028,-223152.13817141377,-3.1842485469665207,-42798.9013012282,-0.610714915828028,200.0,3.1842485469665207,0.2567944796152457,223152.13817141377,35040,31536000
18,-217734.6874961275,-3.106944741668486,421344744.04215807,6012.339384163214,-223165.62192165057,-3.184440952078347,-42134.47440421581,-0.6012339384163216,200.0,3.184440952078347,0.25610572677284227,223165.62192165057,35040,31536000
19,-217760.25085143436,-3.1073095155741206,422761217.0781151,6032.551613557579,-223187.5950517526,-3.1847544956014926,-42276.12170781152,-0.6032551613557581,200.0,3.1847544956014926,0.2564684589588704,223187.5950517526,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
