episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-134231.5358382464,-1.9154043355914157,1694005064.0155818,24172.446689720062,-28724.624148310977,-0.40988333544964295,-169400.50640155817,-2.417244668972006,111.87785388127853,0.40988333544964295,0.5163034659265627,28724.624148310977,35040,31536000
1,-177041.6222953402,-2.5262788569540553,1447830392.024872,20659.680251496462,-273817.3715738992,-3.9072113523672827,-144783.0392024872,-2.065968025149646,144.75456621004565,3.9072113523672827,2.8865895111167514,273817.3715738992,35040,31536000
2,-170974.94398940532,-2.4397109587529298,1524679792.6162348,21756.27557956956,-226495.83817275078,-3.23196116114085,-152467.9792616235,-2.175627557956956,200.0,3.23196116114085,0.31866702630259464,226495.83817275078,35040,31536000
3,-170811.16969484615,-2.4373739967871884,1522560877.7688951,21726.039922501357,-226476.41544871606,-3.2316840103983457,-152256.08777688953,-2.172603992250136,200.0,3.2316840103983457,0.3183842794462486,226476.41544871606,35040,31536000
4,-171428.43548620664,-2.446182013216419,1530452292.010788,21838.64571933202,-226578.05434159015,-3.2331343370660695,-153045.2292010788,-2.183864571933202,200.0,3.2331343370660695,0.3207668441754435,226578.05434159015,35040,31536000
5,-170982.98961891382,-2.4398257651100717,1524989144.3790934,21760.689845592085,-226435.21516192704,-3.231096106762658,-152498.91443790938,-2.176068984559209,200.0,3.231096106762658,0.3176044954365162,226435.21516192704,35040,31536000
6,-170693.55749820964,-2.4356957405566444,1520867831.7034163,21701.88116015149,-226513.88048181363,-3.2322186141811304,-152086.78317034163,-2.170188116015149,200.0,3.2322186141811304,0.3193209838362974,226513.88048181363,35040,31536000
7,-170928.9043342592,-2.43905400020347,1523925503.8029137,21745.51232595482,-226537.96619616266,-3.2325623030274353,-152392.55038029136,-2.1745512325954817,200.0,3.2325623030274353,0.3199732731038076,226537.96619616266,35040,31536000
8,-170983.98710607496,-2.439839998659745,1524488625.0910666,21753.54773246385,-226589.36089697972,-3.233295674899825,-152448.8625091067,-2.1753547732463856,200.0,3.233295674899825,0.3212227274519671,226589.36089697972,35040,31536000
9,-172317.31558834776,-2.45886580462825,1541950855.4434953,22002.72339388549,-226684.00572034257,-3.234646200347354,-154195.08554434954,-2.2002723393885493,200.0,3.234646200347354,0.32300191202724027,226684.00572034257,35040,31536000
10,-171156.00217416734,-2.4422945515720227,1527278143.0649912,21793.352498073506,-226440.56577717196,-3.2311724568660383,-152727.81430649912,-2.1793352498073504,200.0,3.2311724568660383,0.3180221517800585,226440.56577717196,35040,31536000
11,-170248.92062158507,-2.4293510362669104,1515275181.1979866,21622.077357277205,-226413.12812694418,-3.2307809378844774,-151527.51811979865,-2.1622077357277205,200.0,3.2307809378844774,0.3174455912450091,226413.12812694418,35040,31536000
12,-170923.93193259742,-2.438983046983411,1523632528.0601556,21741.3317360182,-226605.96931234305,-3.2335326671281828,-152363.25280601555,-2.17413317360182,200.0,3.2335326671281828,0.32130937786114055,226605.96931234305,35040,31536000
13,-171243.55777433698,-2.4435439180127996,1528187323.7662742,21806.325966984507,-226518.03396746557,-3.232277881955844,-152818.73237662745,-2.180632596698451,200.0,3.232277881955844,0.31996318161680243,226518.03396746557,35040,31536000
14,-171372.91981382522,-2.445389837526045,1530012708.0146058,21832.373116646773,-226487.86685091915,-3.2318474151101477,-153001.27080146057,-2.1832373116646773,200.0,3.2318474151101477,0.3192870430365363,226487.86685091915,35040,31536000
15,-171744.9894781766,-2.450699050773068,1534600207.3210652,21897.834008576843,-226599.89571638682,-3.2334460005192183,-153460.02073210655,-2.1897834008576846,200.0,3.2334460005192183,0.32130867516990574,226599.89571638682,35040,31536000
16,-170619.82823608659,-2.4346436677523773,1520194627.5531886,21692.27493654664,-226420.92467838977,-3.230892190045516,-152019.46275531885,-2.169227493654664,200.0,3.230892190045516,0.3175617654357812,226420.92467838977,35040,31536000
17,-170331.18174671504,-2.43052485369171,1516327227.744408,21637.089436992123,-226426.55866353775,-3.230972583669203,-151632.7227744408,-2.1637089436992123,200.0,3.230972583669203,0.31794187111118244,226426.55866353775,35040,31536000
18,-170279.61193016765,-2.4297889830217985,1515190618.8730118,21620.87070309663,-226561.26205876708,-3.232894721158206,-151519.06188730118,-2.162087070309663,200.0,3.232894721158206,0.3202554000075547,226561.26205876708,35040,31536000
19,-171331.816722974,-2.4448033208186932,1529471200.593951,21824.64612719679,-226485.9067137107,-3.2318194451157347,-152947.12005939515,-2.18246461271968,200.0,3.2318194451157347,0.3190921057535279,226485.9067137107,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
