episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-33184.480524379476,-0.4735228385328122,333426987.97434115,4757.805193697791,-32709.825705215546,-0.4667497960219113,-33342.69879743412,-0.47578051936977905,87.2431506849315,0.4667497960219113,0.7272131925184239,32709.825705215546,35040,31536000
1,-31535.567748859823,-0.4499938320328171,350126677.5524896,4996.099850920228,-21104.267729692398,-0.3011453728551997,-35012.667755248964,-0.49960998509202287,84.58904109589042,0.3011453728551997,0.48142047635609664,21104.267729692398,35040,31536000
2,-31619.680465786056,-0.45119407057343114,349377426.69460803,4985.408485939041,-21665.493854761833,-0.30915373651201244,-34937.74266946081,-0.49854084859390424,85.8675799086758,0.30915373651201244,0.5013389554353133,21665.493854761833,35040,31536000
3,-30969.628557548924,-0.44191821571844925,349995848.9317105,4994.2330041625355,-18879.759550682564,-0.2694029616250366,-34999.58489317105,-0.49942330041625355,84.17237442922374,0.2694029616250366,0.40394563019674345,18879.759550682564,35040,31536000
4,-30726.709660471864,-0.4384519072555917,348740243.75356936,4976.316263606869,-18284.76551581665,-0.26091274994030605,-34874.02437535694,-0.4976316263606869,82.79680365296804,0.26091274994030605,0.39394541286144674,18284.76551581665,35040,31536000
5,-31004.692122505327,-0.4424185519763888,352945583.2947231,5036.323962538857,-18135.093501604366,-0.2587770191438979,-35294.55832947231,-0.5036323962538857,85.40525114155251,0.2587770191438979,0.3803685199757015,18135.093501604366,35040,31536000
6,-31154.291294083163,-0.4445532433516433,354152779.0934644,5053.549929986649,-18371.33144829332,-0.2621479944105782,-35415.27790934644,-0.5053549929986649,87.04337899543378,0.2621479944105782,0.37669887725086487,18371.33144829332,35040,31536000
7,-31102.119413949884,-0.44380878159175063,354488945.832599,5058.3468298030675,-18061.793906019844,-0.25773107742608226,-35448.8945832599,-0.5058346829803068,84.2123287671233,0.25773107742608226,0.3749575261328483,18061.793906019844,35040,31536000
8,-30900.119814188794,-0.4409263672115981,350715277.87567455,5004.498828134625,-18385.89589405281,-0.2623558204060047,-35071.52778756745,-0.5004498828134625,85.62214611872146,0.2623558204060047,0.38260952617413607,18385.89589405281,35040,31536000
9,-30560.625150696476,-0.4360819798900753,348905058.22687453,4978.6680683058585,-17570.983134723538,-0.25072749906854364,-34890.50582268745,-0.4978668068305858,84.07534246575342,0.25072749906854364,0.36223787186464873,17570.983134723538,35040,31536000
10,-30833.75521699354,-0.4399793838041316,353070250.40239525,5038.102888162032,-17413.945747255595,-0.24848666876791659,-35307.025040239525,-0.5038102888162033,83.17351598173516,0.24848666876791659,0.363908928874624,17413.945747255595,35040,31536000
11,-30864.9993058098,-0.44042521840482024,355324054.5507741,5070.26333548479,-16862.780858006976,-0.24062187297384383,-35532.405455077416,-0.5070263335484791,82.28881278538813,0.24062187297384383,0.3493876224375815,16862.780858006976,35040,31536000
12,-30716.289495873832,-0.4383032176922636,352072275.61924225,5023.862380411561,-17243.475297722667,-0.246054156645586,-35207.22756192423,-0.5023862380411562,82.46004566210046,0.246054156645586,0.3631153087564776,17243.475297722667,35040,31536000
13,-30517.703778245144,-0.43546951738363504,350988956.2021647,5008.404055396186,-16774.12825233118,-0.23935685291568462,-35098.89562021647,-0.5008404055396186,82.31164383561645,0.23935685291568462,0.3514318668943078,16774.12825233118,35040,31536000
14,-30853.612356169266,-0.4402627333928263,355568185.4245786,5073.746938136111,-16743.993797303465,-0.23892685213047182,-35556.81854245786,-0.507374693813611,81.95205479452055,0.23892685213047182,0.35251794503214395,16743.993797303465,35040,31536000
15,-30359.951427967495,-0.43321848498812066,350004380.2127138,4994.354740478222,-16438.49164805584,-0.23456751780901597,-35000.43802127137,-0.4994354740478221,81.912100456621,0.23456751780901597,0.343544401503783,16438.49164805584,35040,31536000
16,-30592.380750438653,-0.43653511344804014,351452251.40477103,5015.015002921961,-16933.84758032332,-0.2416359529155725,-35145.2251404771,-0.5015015002921961,83.2420091324201,0.2416359529155725,0.35535962105641244,16933.84758032332,35040,31536000
17,-30334.405050605754,-0.43285395334768484,350434645.48315305,5000.494370478782,-16207.226557477084,-0.23126750224710452,-35043.46454831531,-0.5000494370478782,80.91324200913242,0.23126750224710452,0.34165616663183623,16207.226557477084,35040,31536000
18,-30247.884751971516,-0.43161936004525564,349801821.73183686,4991.464351196302,-16050.992488335,-0.22903813482213184,-34980.18217318369,-0.4991464351196303,82.27168949771689,0.22903813482213184,0.3322748904065805,16050.992488335,35040,31536000
19,-30767.45841114042,-0.4390458975875513,356755627.0886955,5090.836312233448,-16043.145517952997,-0.22893269668017063,-35675.562708869555,-0.5090836312233448,82.0343046319815,0.22893269668017063,0.3334422236172279,16043.145517952997,35039,31535100
