episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-63893.594711622776,-0.9117236688302337,1694005064.0155818,24172.446689720062,-28724.624148310977,-0.40988333544964295,-169400.50640155817,-2.417244668972006,111.87785388127853,0.40988333544964295,0.5163034659265627,28724.624148310977,35040,31536000
1,-49138.4110109461,-0.7011759562064227,1794714060.2975283,25609.50428506747,-5694.079338010521,-0.0812511321063145,-179471.40602975286,-2.5609504285067475,25.34817351598174,0.0812511321063145,0.3002207309019075,5694.079338010521,35040,31536000
2,-66307.47244427248,-0.9461682711796873,1822869209.2586145,26011.261547640046,-27647.65628374284,-0.3945156433182483,-182286.9209258615,-2.6011261547640054,51.03310502283105,0.3945156433182483,0.8128206996843862,27647.65628374284,35040,31536000
3,-63324.132530259456,-0.9035977815390904,1732124242.0523088,24716.384732481576,-26694.70197193565,-0.3809175509694014,-173212.42420523084,-2.471638473248157,116.76369863013699,0.3809175509694014,0.3896021127231733,26694.70197193565,35040,31536000
4,-45317.50263550343,-0.6466538618079827,1741786598.5456328,24854.2608239959,-2363.7835624834793,-0.03372978827744691,-174178.6598545633,-2.4854260823995906,31.883561643835616,0.03372978827744691,0.10085914369879481,2363.7835624834793,35040,31536000
5,-45403.981102333404,-0.6478878581953967,1803502656.8255723,25734.912340547548,-421.8862422588006,-0.006020066242277406,-180350.26568255725,-2.5734912340547553,11.552511415525114,0.006020066242277406,0.03206321416403108,421.8862422588006,35040,31536000
6,-44063.578506845646,-0.62876110883056,1761995315.2305827,25142.62721504827,-18.260834774763445,-0.00026057127247093955,-176199.53152305828,-2.514262721504827,1.0730593607305936,0.00026057127247093955,0.005025569018800545,18.260834774763445,35040,31536000
7,-44020.717127525495,-0.6281495023904894,1748491578.2095788,24949.936903675494,-411.2368963813699,-0.005868106398135986,-174849.1578209579,-2.49499369036755,12.100456621004566,0.005868106398135986,0.03299057504968484,411.2368963813699,35040,31536000
8,-44977.712284121524,-0.641805255195798,1749784782.1506827,24968.390156259742,-1644.1236404726092,-0.023460668385739285,-174978.47821506826,-2.496839015625974,28.36187214611872,0.023460668385739285,0.07564077118939187,1644.1236404726092,35040,31536000
9,-46669.82122560672,-0.6659506453425617,1753892763.1393733,25027.008606440828,-3763.3361961631717,-0.053700573575387725,-175389.27631393733,-2.502700860644083,65.45091324200914,0.053700573575387725,0.10887255773521416,3763.3361961631717,35040,31536000
10,-43940.49164417847,-0.6270047323655604,1750562362.7195911,24979.48576940056,-235.24343491825414,-0.0033567841740618455,-175056.23627195912,-2.497948576940056,7.802511415525114,0.0033567841740618455,0.02227865183371129,235.24343491825414,35040,31536000
11,-43884.97310127614,-0.6262125157145568,1743781298.5931497,24882.724009605445,-387.25418192984006,-0.00552588729922717,-174378.12985931503,-2.4882724009605455,12.226027397260273,0.00552588729922717,0.02853181546678281,387.25418192984006,35040,31536000
12,-45239.01716825486,-0.6455339207798925,1722466276.3148003,24578.571294446352,-2903.147013846467,-0.04142618455831146,-172246.62763148005,-2.457857129444635,57.02054794520548,0.04142618455831146,0.0921983362605829,2903.147013846467,35040,31536000
13,-48006.39351792978,-0.685022738554934,1722776343.169039,24582.995764398387,-6582.646584938395,-0.09393045925996568,-172277.6343169039,-2.4582995764398388,71.17009132420091,0.09393045925996568,0.1782982356234924,6582.646584938395,35040,31536000
14,-44872.34594325655,-0.6403017400578845,1739737687.387563,24825.02407801888,-1838.5383447566328,-0.02623485080988346,-173973.76873875628,-2.4825024078018876,36.603881278538815,0.02623485080988346,0.07491433283647737,1838.5383447566328,35040,31536000
15,-44353.65513481546,-0.6329003301200836,1760512953.5336423,25121.474793573663,-454.4417286325302,-0.006484613707655968,-176051.29535336423,-2.5121474793573664,14.195205479452056,0.006484613707655968,0.033482893586672065,454.4417286325302,35040,31536000
16,-43959.4287743212,-0.6272749539714783,1729050425.4101524,24672.52319363802,-977.5575187565224,-0.013949165507370468,-172905.04254101525,-2.4672523193638023,30.776255707762555,0.013949165507370468,0.04663223904702155,977.5575187565224,35040,31536000
17,-44238.672796485225,-0.6312596004064672,1748583710.1289654,24951.251571474964,-698.7733910147793,-0.009971081492790801,-174858.37101289656,-2.4951251571474966,19.651826484018265,0.009971081492790801,0.03862969895363273,698.7733910147793,35040,31536000
18,-45013.610794146654,-0.6423175056242388,1699519603.7223957,24251.135897865235,-3367.4942681156663,-0.048052144236810305,-169951.96037223958,-2.4251135897865237,54.46917808219178,0.048052144236810305,0.11168528596547608,3367.4942681156663,35040,31536000
19,-47338.6638217769,-0.6754946321600585,1735697155.459276,24767.368085891496,-5261.64658039334,-0.07508057335036158,-173569.71554592758,-2.4767368085891492,78.43607305936074,0.07508057335036158,0.11713697419447196,5261.64658039334,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
