episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-16266.990772300624,-0.23212030211616186,426298993.25409883,6083.033579539081,-16000.69876671366,-0.22832047326931593,-42629.89932540989,-0.6083033579539082,93.71575342465754,0.22832047326931593,0.3319226476665094,16000.69876671366,35040,31536000
1,-505.51610391035763,-0.007213414724748254,505516103.91035753,7213.414724748252,0.0,0.0,-50551.610391035756,-0.7213414724748253,0.0,0.0,0.0,0.0,35040,31536000
2,-2718.5221286076617,-0.03879169704063444,467391292.4080522,6669.396295777001,-2273.8695315147565,-0.032446768429148926,-46739.12924080524,-0.6669396295777004,22.460045662100455,0.032446768429148926,0.11349162490892091,2273.8695315147565,35040,31536000
3,-28391.87582932798,-0.4051352144595887,475540017.77167225,6785.673769572949,-28198.319001572025,-0.4023732734242583,-47554.001777167236,-0.6785673769572951,135.16552511415526,0.4023732734242583,0.3629079544658331,28198.319001572025,35040,31536000
4,-133398.74346442305,-1.9035208827685939,477060633.5236799,6807.372053705478,-134264.32609181752,-1.9158722330453413,-47706.063352368,-0.6807372053705479,148.86415525114157,1.9158722330453413,1.4194050113883931,134264.32609181752,35040,31536000
5,-515.4812136099496,-0.007355610924799509,515481213.60994947,7355.610924799507,0.0,0.0,-51548.12136099495,-0.7355610924799507,0.0,0.0,0.0,0.0,35040,31536000
6,-524.1486222011328,-0.00747928970035863,524148622.20113266,7479.289700358628,0.0,0.0,-52414.862220113275,-0.7479289700358629,0.0,0.0,0.0,0.0,35040,31536000
7,-523.3580431187105,-0.007468008606145983,523358043.11871046,7468.008606145982,0.0,0.0,-52335.804311871056,-0.7468008606145984,0.0,0.0,0.0,0.0,35040,31536000
8,-526.7413785348799,-0.007516286794162099,526741378.5348798,7516.286794162098,0.0,0.0,-52674.137853487984,-0.7516286794162098,0.0,0.0,0.0,0.0,35040,31536000
9,-533.0076232183422,-0.007605702386106482,533007623.2183421,7605.70238610648,0.0,0.0,-53300.76232183422,-0.7605702386106481,0.0,0.0,0.0,0.0,35040,31536000
10,-528.3756716092471,-0.00753960718620501,528375671.60924697,7539.6071862050085,0.0,0.0,-52837.56716092471,-0.753960718620501,0.0,0.0,0.0,0.0,35040,31536000
11,-521.529394249267,-0.007441914872278354,521529394.249267,7441.914872278353,0.0,0.0,-52152.93942492671,-0.7441914872278356,0.0,0.0,0.0,0.0,35040,31536000
12,-521.3898221128146,-0.007439923260742218,521389822.11281466,7439.923260742218,0.0,0.0,-52138.98221128147,-0.7439923260742219,0.0,0.0,0.0,0.0,35040,31536000
13,-521.3218481296914,-0.007438953312352902,521321848.1296912,7438.953312352899,0.0,0.0,-52132.184812969135,-0.7438953312352902,0.0,0.0,0.0,0.0,35040,31536000
14,-518.8671690403003,-0.007403926498862732,518867169.04030025,7403.926498862732,0.0,0.0,-51886.716904030036,-0.7403926498862733,0.0,0.0,0.0,0.0,35040,31536000
15,-528.8336753697896,-0.007546142627993573,528833675.3697895,7546.142627993571,0.0,0.0,-52883.36753697895,-0.7546142627993572,0.0,0.0,0.0,0.0,35040,31536000
16,-520.211220021758,-0.007423105308529652,520211220.0217579,7423.105308529651,0.0,0.0,-52021.122002175805,-0.7423105308529653,0.0,0.0,0.0,0.0,35040,31536000
17,-523.5235530309025,-0.0074703703343450695,523523553.0309023,7470.370334345067,0.0,0.0,-52352.35530309025,-0.747037033434507,0.0,0.0,0.0,0.0,35040,31536000
18,-516.9786176774028,-0.007376977991972072,516978617.67740273,7376.977991972071,0.0,0.0,-51697.86176774028,-0.7376977991972072,0.0,0.0,0.0,0.0,35040,31536000
19,-518.1024905840189,-0.007393014991210316,518102490.5840188,7393.014991210314,0.0,0.0,-51810.249058401896,-0.7393014991210316,0.0,0.0,0.0,0.0,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
