episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-19354.761002293722,-0.2761809503751958,216468573.83576208,3088.8780513093907,-17062.664621011238,-0.2434740956194526,-21646.857383576207,-0.30888780513093905,74.88013698630137,0.2434740956194526,0.4399530195307484,17062.664621011238,35040,31536000
1,-17530.38567450243,-0.25014819741013744,220063857.64107823,3140.180617024518,-13054.385584897034,-0.18627833311782296,-22006.38576410783,-0.3140180617024519,60.342465753424655,0.18627833311782296,0.38643131360336314,13054.385584897034,35040,31536000
2,-16407.3906549669,-0.23412372509941354,221941756.01880452,3166.9771121404756,-10620.605708053352,-0.15154973898477955,-22194.175601880448,-0.3166977112140475,57.49999999999999,0.15154973898477955,0.2850786087285307,10620.605708053352,35040,31536000
3,-16133.656465801203,-0.2302177007106336,221084521.15988445,3154.7448795645614,-10158.860815613965,-0.14496091346481116,-22108.452115988446,-0.31547448795645616,59.44634703196348,0.14496091346481116,0.2678302621414575,10158.860815613965,35040,31536000
4,-16147.441990750409,-0.23041441196847046,219894512.3796584,3137.7641606686416,-10305.432743534977,-0.14705240787007673,-21989.45123796584,-0.3137764160668642,59.55479452054795,0.14705240787007673,0.27172177545329645,10305.432743534977,35040,31536000
5,-16099.61395617502,-0.2297319343061504,221067788.61779177,3154.506116121458,-10092.449050570864,-0.14401325700015502,-22106.778861779174,-0.31545061161214577,58.52739726027397,0.14401325700015502,0.2629534265217552,10092.449050570864,35040,31536000
6,-16092.125828823797,-0.22962508317385555,222138937.7866513,3169.7907789191113,-9970.35787898246,-0.14227108845579994,-22213.89377866513,-0.3169790778919111,58.807077625570784,0.14227108845579994,0.25479479090731977,9970.35787898246,35040,31536000
7,-16103.644697362683,-0.22978945059022093,223297040.84565026,3186.3162221125895,-9877.58531016034,-0.14094727896918294,-22329.704084565026,-0.31863162221125896,58.06506849315068,0.14094727896918294,0.2577561397858992,9877.58531016034,35040,31536000
8,-15928.796083513922,-0.22729446466201372,222165592.21675166,3170.1711218143787,-9641.032945352674,-0.13757181714258954,-22216.559221675165,-0.31701711218143785,57.47716894977168,0.13757181714258954,0.25424545083340566,9641.032945352674,35040,31536000
9,-15922.8521439841,-0.22720964817328912,222607097.05481172,3176.471133772998,-9584.994582487025,-0.13677218296927832,-22260.709705481175,-0.3176471133772999,57.20890410958904,0.13677218296927832,0.249482586868249,9584.994582487025,35040,31536000
10,-15995.66689128079,-0.2282486713938469,225137905.7387859,3212.584271386785,-9477.543208682995,-0.13523891564901533,-22513.79057387859,-0.32125842713867847,57.08333333333333,0.13523891564901533,0.24737816805623838,9477.543208682995,35040,31536000
11,-15884.69002870625,-0.22666509744158464,221287750.85224134,3157.644846635864,-9640.604972188363,-0.1375657102195828,-22128.77508522414,-0.3157644846635865,57.88242009132421,0.1375657102195828,0.2516373916591616,9640.604972188363,35040,31536000
12,-15803.354208996287,-0.22550448357586025,222046115.07602063,3168.4662539386504,-9402.096910390504,-0.13416234175785538,-22204.611507602065,-0.3168466253938651,56.45547945205479,0.13416234175785538,0.24622987675872382,9402.096910390504,35040,31536000
13,-16065.822983293314,-0.22924975718169682,224956111.85369468,3209.990180560712,-9636.034781217159,-0.13750049630732247,-22495.611185369467,-0.3209990180560712,57.49999999999999,0.13750049630732247,0.2510509400700707,9636.034781217159,35040,31536000
14,-15892.02652409354,-0.226769784875764,221653561.66043496,3162.8647497208185,-9618.696882143584,-0.1372530947794461,-22165.3561660435,-0.3162864749720819,57.50570776255708,0.1372530947794461,0.25066404120498964,9618.696882143584,35040,31536000
15,-15855.667929244177,-0.2262509693099911,220837692.1622565,3151.222776287907,-9627.566642262713,-0.13737966099119167,-22083.76921622565,-0.3151222776287907,58.28196347031963,0.13737966099119167,0.246102365315542,9627.566642262713,35040,31536000
16,-16081.713700715736,-0.22947650828646884,224310721.06894475,3200.7808371710153,-9732.355294536996,-0.13887493285583613,-22431.072106894477,-0.32007808371710156,58.470319634703195,0.13887493285583613,0.24789103055905368,9732.355294536996,35040,31536000
17,-15819.024127286499,-0.2257280840080836,221159987.80638355,3155.8217438125507,-9522.049473934645,-0.13587399363491218,-22115.998780638354,-0.3155821743812551,56.780821917808225,0.13587399363491218,0.24750886534457747,9522.049473934645,35040,31536000
18,-15812.249808582455,-0.22563141850146198,221152437.35721612,3155.714003384933,-9509.255881443298,-0.13569143666443062,-22115.243735721608,-0.31557140033849324,56.17009132420091,0.13569143666443062,0.24943191648186783,9509.255881443298,35040,31536000
19,-16116.245893397803,-0.22997582541450673,223251601.37420604,3185.7587456007027,-9907.331649375004,-0.14137577626894324,-22325.160137420604,-0.31857587456007025,57.50164102856816,0.14137577626894324,0.27045853235421796,9907.331649375004,35039,31535100
