episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-22657.998906387715,-0.32331619444046394,426298993.25409883,6083.033579539081,-16000.69876671366,-0.22832047326931593,-42629.89932540989,-0.6083033579539082,93.71575342465754,0.22832047326931593,0.3319226476665094,16000.69876671366,35040,31536000
1,-13244.815277104452,-0.18899565178516625,529792611.0841781,7559.826071406651,0.0,0.0,-52979.261108417806,-0.755982607140665,0.0,0.0,0.0,0.0,35040,31536000
2,-12946.746711034026,-0.18474239028301978,517869868.441361,7389.695611320791,0.0,0.0,-51786.9868441361,-0.7389695611320791,0.0,0.0,0.0,0.0,35040,31536000
3,-13068.27730487453,-0.18647655971567537,522731092.19498116,7459.062388627014,0.0,0.0,-52273.10921949812,-0.7459062388627015,0.0,0.0,0.0,0.0,35040,31536000
4,-13130.920302117533,-0.1873704381009922,525236812.0847012,7494.817524039686,0.0,0.0,-52523.68120847013,-0.7494817524039687,0.0,0.0,0.0,0.0,35040,31536000
5,-12887.030340248737,-0.18389027311998768,515481213.60994947,7355.610924799507,0.0,0.0,-51548.12136099495,-0.7355610924799507,0.0,0.0,0.0,0.0,35040,31536000
6,-13103.715555028319,-0.18698224250896572,524148622.20113266,7479.289700358628,0.0,0.0,-52414.862220113275,-0.7479289700358629,0.0,0.0,0.0,0.0,35040,31536000
7,-13083.951077967764,-0.1867002151536496,523358043.11871046,7468.008606145982,0.0,0.0,-52335.804311871056,-0.7468008606145984,0.0,0.0,0.0,0.0,35040,31536000
8,-13168.534463371996,-0.18790716985405245,526741378.5348798,7516.286794162098,0.0,0.0,-52674.137853487984,-0.7516286794162098,0.0,0.0,0.0,0.0,35040,31536000
9,-13325.190580458555,-0.19014255965266202,533007623.2183421,7605.70238610648,0.0,0.0,-53300.76232183422,-0.7605702386106481,0.0,0.0,0.0,0.0,35040,31536000
10,-13209.391790231177,-0.18849017965512524,528375671.60924697,7539.6071862050085,0.0,0.0,-52837.56716092471,-0.753960718620501,0.0,0.0,0.0,0.0,35040,31536000
11,-13038.234856231678,-0.1860478718069589,521529394.249267,7441.914872278353,0.0,0.0,-52152.93942492671,-0.7441914872278356,0.0,0.0,0.0,0.0,35040,31536000
12,-13034.745552820368,-0.18599808151855549,521389822.11281466,7439.923260742218,0.0,0.0,-52138.98221128147,-0.7439923260742219,0.0,0.0,0.0,0.0,35040,31536000
13,-13033.046203242284,-0.18597383280882254,521321848.1296912,7438.953312352899,0.0,0.0,-52132.184812969135,-0.7438953312352902,0.0,0.0,0.0,0.0,35040,31536000
14,-12971.679226007509,-0.18509816247156832,518867169.04030025,7403.926498862732,0.0,0.0,-51886.716904030036,-0.7403926498862733,0.0,0.0,0.0,0.0,35040,31536000
15,-13220.841884244737,-0.1886535656998393,528833675.3697895,7546.142627993571,0.0,0.0,-52883.36753697895,-0.7546142627993572,0.0,0.0,0.0,0.0,35040,31536000
16,-13005.280500543951,-0.18557763271324132,520211220.0217579,7423.105308529651,0.0,0.0,-52021.122002175805,-0.7423105308529653,0.0,0.0,0.0,0.0,35040,31536000
17,-13088.088825772562,-0.18675925835862675,523523553.0309023,7470.370334345067,0.0,0.0,-52352.35530309025,-0.747037033434507,0.0,0.0,0.0,0.0,35040,31536000
18,-12924.46544193507,-0.1844244497993018,516978617.67740273,7376.977991972071,0.0,0.0,-51697.86176774028,-0.7376977991972072,0.0,0.0,0.0,0.0,35040,31536000
19,-12952.562264600474,-0.1848253747802579,518102490.5840188,7393.014991210314,0.0,0.0,-51810.249058401896,-0.7393014991210316,0.0,0.0,0.0,0.0,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
