episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-43065.138297551246,-0.6145139597253317,1150421021.9390903,16415.825084747292,-19072.816998765316,-0.2721577768088658,-115042.10219390904,-1.6415825084747295,94.67465753424658,0.2721577768088658,0.40386632101713843,19072.816998765316,35040,31536000
1,-75184.14688156723,-1.072833146141085,1205897792.833646,17207.44567399609,-60048.936080968124,-0.8568626723882438,-120589.77928336461,-1.7207445673996091,84.37785388127854,0.8568626723882438,1.297623127072976,60048.936080968124,35040,31536000
2,-33095.66434689615,-0.4722554844020569,1266383799.6826422,18070.545086795693,-1914.759139773455,-0.027322476309552726,-126638.37996826423,-1.8070545086795695,18.590182648401825,0.027322476309552726,0.11105551753011499,1914.759139773455,35040,31536000
3,-36143.06131429345,-0.5157400301697125,1255520117.3366914,17915.526788480187,-6340.077841168221,-0.0904691472769438,-125552.01173366916,-1.791552678848019,29.96575342465753,0.0904691472769438,0.25465743304322647,6340.077841168221,35040,31536000
4,-33538.03787215949,-0.47856789201140826,1238234825.049507,17668.87592821785,-3442.8896612290846,-0.0491279917412826,-123823.4825049507,-1.766887592821785,21.495433789954337,0.0491279917412826,0.2156840443518752,3442.8896612290846,35040,31536000
5,-32010.639258073774,-0.45677282046338147,1235271883.563958,17626.59651204278,-1505.122891966431,-0.02147721021641597,-123527.1883563958,-1.7626596512042778,21.335616438356166,0.02147721021641597,0.0763896198039978,1505.122891966431,35040,31536000
6,-30700.19848270293,-0.4380736084860578,1222160760.160555,17439.508563934858,-194.90597158541104,-0.002781192516915112,-122216.07601605548,-1.7439508563934858,4.657534246575342,0.002781192516915112,0.02337707552135741,194.90597158541104,35040,31536000
7,-30618.497482899707,-0.4369077837171762,1218412733.4216778,17386.026447227137,-210.90552981034386,-0.0030094967153302494,-121841.27334216777,-1.7386026447227136,6.438356164383562,0.0030094967153302494,0.02228313487333473,210.90552981034386,35040,31536000
8,-30714.991804110578,-0.4382847004011213,1204448618.4794283,17186.76681620189,-805.0351228331581,-0.011487373328098717,-120444.86184794286,-1.718676681620189,17.23173515981735,0.011487373328098717,0.049006436598291465,805.0351228331581,35040,31536000
9,-30755.02009497599,-0.4388558803506848,1224039873.1931808,17466.322391455207,-205.36435352861585,-0.0029304274190727147,-122403.9873193181,-1.746632239145521,7.659817351598173,0.0029304274190727147,0.01932799386996827,205.36435352861585,35040,31536000
10,-30944.95104671883,-0.44156608228765454,1203653373.0756,17175.41913635274,-1138.155626438441,-0.016240805171781406,-120365.33730756,-1.7175419136352739,28.864155251141554,0.016240805171781406,0.051149318438596644,1138.155626438441,35040,31536000
11,-29999.428284967944,-0.4280740337466887,1194191293.1857655,17040.400873084553,-192.8612737650756,-0.0027520158927664897,-119419.12931857654,-1.7040400873084551,8.835616438356164,0.0027520158927664897,0.01721832956477944,192.8612737650756,35040,31536000
12,-31212.747583619603,-0.4453873799032478,1190471014.803921,16987.31470896006,-1934.6296180287684,-0.027606016238994984,-119047.1014803921,-1.698731470896006,38.74429223744292,0.027606016238994984,0.07375451822617744,1934.6296180287684,35040,31536000
13,-30176.410161331016,-0.4305994600646549,1204059820.6939108,17181.21890259576,-99.88619197765131,-0.0014253166663477641,-120405.98206939112,-1.7181218902595765,3.7614155251141557,0.0014253166663477641,0.014245675476387836,99.88619197765131,35040,31536000
14,-31279.30453814015,-0.4463371081355615,1226772561.9165082,17505.316237393097,-813.3206536365927,-0.011605602934312112,-122677.25619165084,-1.75053162373931,19.583333333333332,0.011605602934312112,0.044887022856216464,813.3206536365927,35040,31536000
15,-30201.802844480466,-0.43096179857991535,1203706878.984041,17176.182633904693,-145.50782650590963,-0.0020763103097304458,-120370.68789840411,-1.7176182633904695,6.329908675799087,0.0020763103097304458,0.016412403318348583,145.50782650590963,35040,31536000
16,-29803.029334326362,-0.4252715373048853,1186737286.47088,16934.03662201598,-179.4628967391592,-0.0025608290059811528,-118673.72864708799,-1.693403662201598,7.363013698630137,0.0025608290059811528,0.017142665206148162,179.4628967391592,35040,31536000
17,-31788.18731583723,-0.4535985632967641,1198442632.6229696,17101.064963227305,-2436.16200035065,-0.034762585621441924,-119844.26326229698,-1.7101064963227308,26.01027397260274,0.034762585621441924,0.22306869677478672,2436.16200035065,35040,31536000
18,-29778.847541027517,-0.424926477469,1188397230.714549,16957.723041018107,-91.88903088506868,-0.0013112019247298612,-118839.72307145486,-1.6957723041018102,4.212328767123288,0.0013112019247298612,0.011714726569939164,91.88903088506868,35040,31536000
19,-30403.442421402753,-0.43383907564787033,1215562384.9917612,17345.35366711988,-19.177062144956842,-0.0002736452931643385,-121556.23849917615,-1.7345353667119885,1.3527397260273972,0.0002736452931643385,0.004403312475230116,19.177062144956842,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
