episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-31794.47871853164,-0.45368833787859075,405880337.9483959,5791.6714889896675,-28863.293693095657,-0.41186206753846544,-40588.0337948396,-0.5791671488989668,76.88926940639269,0.41186206753846544,0.6634545054649654,28863.293693095657,35040,31536000
1,-30601.471308751472,-0.4366648303189422,406924896.5496891,5806.576720172505,-27237.79852667899,-0.38866721641950613,-40692.489654968915,-0.5806576720172505,66.46689497716895,0.38866721641950613,0.7024643496872315,27237.79852667899,35040,31536000
2,-27169.46555118532,-0.38769214542216496,412889460.63833153,5891.687509108612,-22462.97204696937,-0.3205332769259328,-41288.94606383316,-0.5891687509108613,64.38926940639269,0.3205332769259328,0.5728958320201082,22462.97204696937,35040,31536000
3,-27499.240952577722,-0.39239784464294697,414723486.2505237,5917.857965903591,-22841.538395086172,-0.32593519399380955,-41472.34862505238,-0.5917857965903592,64.29794520547945,0.32593519399380955,0.5932650120902703,22841.538395086172,35040,31536000
4,-27396.168901576923,-0.39092706765948804,413146092.9918624,5895.349500454658,-22756.688769040476,-0.32472444019749536,-41314.609299186246,-0.5895349500454659,63.51027397260274,0.32472444019749536,0.6123877261021554,22756.688769040476,35040,31536000
5,-26819.016768203313,-0.38269144931796967,415229334.06132966,5925.0761138888365,-21917.711222226768,-0.31275272862766507,-41522.93340613296,-0.5925076113888835,63.16780821917808,0.31275272862766507,0.5765940884812584,21917.711222226768,35040,31536000
6,-26758.044138165373,-0.3818214060811269,413543205.7024805,5901.016063106172,-21892.61866080448,-0.31239467267129684,-41354.32057024805,-0.5901016063106171,63.52739726027398,0.31239467267129684,0.5743324210007622,21892.61866080448,35040,31536000
7,-26824.79947111681,-0.38277396505589056,414995542.72724825,5921.7400503317385,-21933.214537247473,-0.3129739517301295,-41499.554272724825,-0.5921740050331739,62.711187214611876,0.3129739517301295,0.580186959404518,21933.214537247473,35040,31536000
8,-26823.25953672003,-0.3827519911061648,415338201.1602371,5926.62958276594,-21919.739343618803,-0.31278166871602175,-41533.820116023715,-0.5926629582765941,63.13356164383561,0.31278166871602175,0.5780151864332309,21919.739343618803,35040,31536000
9,-26761.8562313273,-0.3818758023876612,414438044.7772063,5913.784885519496,-21867.87348252952,-0.31204157366623175,-41443.80447772064,-0.5913784885519497,63.13356164383561,0.31204157366623175,0.5776682934056506,21867.87348252952,35040,31536000
10,-26706.31379609749,-0.3810832448073272,415725261.92775357,5932.152710156301,-21750.909663871535,-0.3103725694045596,-41572.52619277536,-0.5932152710156301,63.1107305936073,0.3103725694045596,0.573540414405571,21750.909663871535,35040,31536000
11,-26634.317971400702,-0.38005590712615156,412538617.02976406,5886.681179077684,-21761.13672754214,-0.3105185035322794,-41253.86170297641,-0.5886681179077684,62.916666666666664,0.3105185035322794,0.5754124655200717,21761.13672754214,35040,31536000
12,-26561.73478685429,-0.3790201881685829,416801226.9998883,5947.5060930349355,-21522.272149142773,-0.3071100477902793,-41680.12269998883,-0.5947506093034935,62.73401826484019,0.3071100477902793,0.56851565017153,21522.272149142773,35040,31536000
13,-26601.434496488273,-0.37958667945902214,414973115.5519579,5921.420027853281,-21636.14214358577,-0.30873490501692025,-41497.31155519578,-0.5921420027853279,62.97374429223744,0.30873490501692025,0.5734247764759451,21636.14214358577,35040,31536000
14,-26797.340902899294,-0.3823821475870333,414486016.36528826,5914.4694116051405,-21913.58732502278,-0.3126938830625397,-41448.60163652882,-0.591446941160514,62.956621004566216,0.3126938830625397,0.5804893800980395,21913.58732502278,35040,31536000
15,-26653.934138039047,-0.3803358181797809,415559741.5510615,5929.79083263501,-21686.587465683348,-0.30945472981854094,-41555.97415510615,-0.592979083263501,62.75114155251141,0.30945472981854094,0.573523388317265,21686.587465683348,35040,31536000
16,-26739.25577346441,-0.3815533072697547,414544881.66400653,5915.309384474979,-21834.17830915233,-0.3115607635438403,-41454.48816640066,-0.591530938447498,63.886986301369866,0.3115607635438403,0.5765501581681611,21834.17830915233,35040,31536000
17,-26817.87579205951,-0.3826751682656893,417160946.3430221,5952.639074529425,-21851.80284464528,-0.3118122552032717,-41716.094634302215,-0.5952639074529426,64.412100456621,0.3118122552032717,0.5755948100365954,21851.80284464528,35040,31536000
18,-26898.881073287517,-0.3838310655434863,414928911.20775294,5920.789258101498,-22034.211057458262,-0.31441511212126516,-41492.8911207753,-0.5920789258101498,63.97831050228311,0.31441511212126516,0.5808257870630078,22034.211057458262,35040,31536000
19,-26620.67328163861,-0.37987204660005436,414820041.23040116,5919.404680932692,-21666.896334504774,-0.30918257276898276,-41482.00412304011,-0.5919404680932691,63.278061588515655,0.30918257276898276,0.5722497540029008,21666.896334504774,35039,31535100
